#Peak RebF BinPhase	PeakT     BinT	   PeakR    EPeakR     SNR	Criterium Nadiac
  1    1    0	     0.607    0.100	16140.00000 401.74619   40.17	14  7
  2    2    1	     5.657    0.200	48920.00000 494.57052   98.91	 1  2
  3    1    0	     6.607    0.100	49590.00000 704.20168   70.42	25  9
  4   10    5	     8.857    1.000	46493.00000 215.62236  215.62	17  7
  5    1    0	    10.307    0.100	49860.00000 706.11614   70.61	14  7
  6    1    0	    11.107    0.100	50620.00000 711.47734   71.15	 1  2
  7    1    0	    11.407    0.100	45020.00000 670.96945   67.10	 1  2
  8    1    0	    12.007    0.100	20330.00000 450.88801   45.09	 5  3
  9    1    0	    12.907    0.100	27390.00000 523.35456   52.34	 2  3
 10    2    1	    15.857    0.200	10700.00000 231.30067   46.26	14  7
 11    2    1	    17.657    0.200	12725.00000 252.23997   50.45	 5  3
 12   16    3	    28.157    1.600	3102.50000  44.03479   70.46	 6  4
 13   19    1	   127.107    1.900	2080.00000  33.08681   62.86	14  7
